Ticker,Company Name,Combined
MMM,3M,MMM - 3M
AOS,A. O. Smith,AOS - A. O. Smith
ABT,Abbott Laboratories,ABT - Abbott Laboratories
ABBV,AbbVie,ABBV - AbbVie
ACN,Accenture,ACN - Accenture
ADBE,Adobe Inc.,ADBE - Adobe Inc.
AMD,Advanced Micro Devices,AMD - Advanced Micro Devices
AES,AES Corporation,AES - AES Corporation
AFL,Aflac,AFL - Aflac
A,Agilent Technologies,A - Agilent Technologies
APD,Air Products,APD - Air Products
ABNB,Airbnb,ABNB - Airbnb
AKAM,Akamai Technologies,AKAM - Akamai Technologies
ALB,Albemarle Corporation,ALB - Albemarle Corporation
ARE,Alexandria Real Estate Equities,ARE - Alexandria Real Estate Equities
ALGN,Align Technology,ALGN - Align Technology
ALLE,Allegion,ALLE - Allegion
LNT,Alliant Energy,LNT - Alliant Energy
ALL,Allstate,ALL - Allstate
GOOGL,Alphabet Inc. (Class A),GOOGL - Alphabet Inc. (Class A)
GOOG,Alphabet Inc. (Class C),GOOG - Alphabet Inc. (Class C)
MO,Altria,MO - Altria
AMZN,Amazon,AMZN - Amazon
AMCR,Amcor,AMCR - Amcor
AEE,Ameren,AEE - Ameren
AEP,American Electric Power,AEP - American Electric Power
AXP,American Express,AXP - American Express
AIG,American International Group,AIG - American International Group
AMT,American Tower,AMT - American Tower
AWK,American Water Works,AWK - American Water Works
AMP,Ameriprise Financial,AMP - Ameriprise Financial
AME,Ametek,AME - Ametek
AMGN,Amgen,AMGN - Amgen
APH,Amphenol,APH - Amphenol
ADI,Analog Devices,ADI - Analog Devices
ANSS,Ansys,ANSS - Ansys
AON,Aon,AON - Aon
APA,APA Corporation,APA - APA Corporation
APO,Apollo Global Management,APO - Apollo Global Management
AAPL,Apple Inc.,AAPL - Apple Inc.
AMAT,Applied Materials,AMAT - Applied Materials
APTV,Aptiv,APTV - Aptiv
ACGL,Arch Capital Group,ACGL - Arch Capital Group
ADM,Archer Daniels Midland,ADM - Archer Daniels Midland
ANET,Arista Networks,ANET - Arista Networks
AJG,Arthur J. Gallagher & Co.,AJG - Arthur J. Gallagher & Co.
AIZ,Assurant,AIZ - Assurant
T,AT&T,T - AT&T
ATO,Atmos Energy,ATO - Atmos Energy
ADSK,Autodesk,ADSK - Autodesk
ADP,Automatic Data Processing,ADP - Automatic Data Processing
AZO,AutoZone,AZO - AutoZone
AVB,AvalonBay Communities,AVB - AvalonBay Communities
AVY,Avery Dennison,AVY - Avery Dennison
AXON,Axon Enterprise,AXON - Axon Enterprise
BKR,Baker Hughes,BKR - Baker Hughes
BALL,Ball Corporation,BALL - Ball Corporation
BAC,Bank of America,BAC - Bank of America
BAX,Baxter International,BAX - Baxter International
